item{'department' : 1, 'name' : 'Biscuit'}
item{'department' : 2, 'name' : 'Ketchup'}
item{'department' : 3, 'name' : 'Waste-bags'}
item{'department' : 4, 'name' : 'flour'}
item{'department' : 4, 'name' : 'oil'}
item{'department' : 5, 'name' : 'Besan'}
item{'department' : 6, 'name' : 'marshmallow'}
item{'department' : 7, 'name' : 'Rat-killer'}
item{'department' : 7, 'name' : 'Fruit-Jam'}
item{'department' : 8, 'name' : 'Achar'}
item{'department' : 9, 'name' : 'soap'}
item{'department' : 9, 'name' : 'shampoo'}
item{'department' : 9, 'name' : 'deodorant'}
item{'department' : 9, 'name' : 'handwash'}
item{'department' : 10, 'name' : 'Toilet-cleaner'}
item{'department' : 11, 'name' : 'Eggs'}
item{'department' : 12, 'name' : 'Face-pack'}
item{'department' : 13, 'name' : 'egg'}
item{'department' : 14, 'name' : 'Maple-syrup'}
item{'department' : 15, 'name' : 'chocolate'}
